d_loss,g_loss,g_adv,content,tv,epoch,epoch_time_sec,lr_g,lr_d,val_score,val_g_adv,val_content,val_tv
0.886685742191898,2.399680630095954,0.4785773417035353,0.19210916616528936,0.11608888812869497,1,199.734,0.0002,0.0002,2.101728598276774,0.23748858273029327,0.186423036787245,0.0961605707804362
0.35244421407725046,1.850576809887747,0.45789599288435817,0.1392670298736651,0.10514634091732572,2,200.138,0.0002,0.0002,1.753639234436883,0.5031180216206445,0.12505105055040783,0.10697416216135025
0.28097748365795727,1.7170202118679159,0.49001420513518806,0.12269950929341965,0.10909346339193363,3,198.972,0.0002,0.0002,1.7714973555670843,0.5277377963066101,0.12437479777468576,0.1159644979569647
0.24694190474534497,1.6626080523416833,0.509661083878244,0.11529356219525476,0.11342773011442527,4,197.748,0.0002,0.0002,1.691632628440857,0.6431038445896573,0.10485175086392297,0.11217757231659359
0.24066211478513422,1.6256715597458256,0.5206847622701265,0.11049749673280901,0.11829947785121724,5,197.195,0.0002,0.0002,1.4386494159698486,0.3982406970527437,0.10403967069254981,0.12061946011251873
0.23250920365302308,1.574987111739742,0.5176981370715261,0.10572767709788766,0.12195152076847345,6,197.336,0.0002,0.0002,1.6096326510111492,0.5818619098928239,0.10277583367294735,0.12404768831200069
0.22164357905683008,1.617806924199595,0.5318471486996679,0.10859473324516444,0.12438318278025655,7,196.955,0.0002,0.0002,1.6187603606118097,0.5319260756174723,0.10868220196829902,0.1228594837917222
0.2129915312149571,1.6260949853554512,0.5641682733899182,0.10619139844931445,0.12723833069349955,8,197.237,0.0002,0.0002,1.4153671397103205,0.4111792594194412,0.1004175634847747,0.12262952658865187
0.21410636922109474,1.6145114082734562,0.5700619957111415,0.10444365022251907,0.12904061264928104,9,196.761,0.0002,0.0002,1.6264839967091878,0.5567094286282858,0.10697618044084972,0.12772547867563036
0.20219312742063142,1.6162494409431531,0.5602049424665646,0.10560314321112864,0.13063289684433382,10,197.146,0.0002,0.0002,1.3647378153271146,0.34392546448442674,0.10207999746004741,0.12351530955897437
0.20953746071284257,1.5879644496926983,0.5591272240124859,0.10288240474838654,0.13171357339591655,11,197.061,0.0002,0.0002,1.5667883952458699,0.5914857188860575,0.09752893116739061,0.13364366028043959
0.20418490505623585,1.58950113845103,0.5625644122946609,0.10269235114304764,0.13202930976030897,12,196.841,0.0002,0.0002,1.3735306792789035,0.3949287020497852,0.09785893559455872,0.1259702816605568
0.207290245798751,1.564173649236994,0.5648104221496767,0.09993499394470048,0.1328103409591809,13,197.651,0.0002,0.0002,1.5189863046010335,0.5086593859725528,0.10103143751621246,0.1252723443839285
0.19360854169263422,1.5569843470471576,0.5579623653761392,0.09990086283498598,0.13344738115240068,14,197.92,0.0002,0.0002,1.4395451810624864,0.5359792974260118,0.09035530189673106,0.12867348972294065
0.19309163791606726,1.6014609840309735,0.574906506584686,0.10265410995309793,0.13365395226090857,15,196.612,0.0002,0.0002,1.769866148630778,0.7293334537082248,0.10405197739601135,0.12940019369125366
0.19844138499313188,1.553933263982384,0.5733931800260127,0.09805265788748427,0.13495459714994848,16,196.791,0.0002,0.0002,1.3971879614724054,0.4678894877433777,0.09292858756250805,0.12598934769630432
0.19124753389833044,1.5906817965137148,0.5766291904073317,0.10140391048586485,0.13499565158509513,17,196.787,0.0002,0.0002,1.7759232256147597,0.7354294591479831,0.10404807246393627,0.13042926291624704
0.18078475554012557,1.6327851727170852,0.5997722220507641,0.10329993854014619,0.13566667423809617,18,196.752,0.0002,0.0002,1.5219052367740207,0.5858675771289401,0.09360244704617394,0.13193793263700274
0.1888832363471823,1.6032851471484286,0.5910893998389105,0.10121821351711033,0.13616051383822866,19,197.741,0.0002,0.0002,1.686677681075202,0.672300206290351,0.10143635504775578,0.1392627457777659
0.17634944248836018,1.6671910806766992,0.6025111665858806,0.1064666296961238,0.13608918545170895,20,197.391,0.0002,0.0002,1.926325175497267,0.7185424566268921,0.12077693558401531,0.1333263036277559
0.18289589965083067,1.6350895386297726,0.5954952445423719,0.10395806109152951,0.13671547131052295,21,197.083,0.0002,0.0002,1.4365198877122667,0.45085564917988247,0.09856505278084013,0.13699210352367824
0.17940414353337103,1.6280248801685073,0.6021065880155679,0.10259045617094317,0.13721987008325104,22,197.219,0.0002,0.0002,1.552659034729004,0.5363002684381273,0.1016345653269026,0.13095681286520428
0.17634376388006998,1.8722259298111628,0.6204950508200427,0.12517175783665435,0.13287886025980838,23,197.531,0.0002,0.0002,1.4814786381191678,0.4575669633017646,0.10238981826437844,0.1346320402291086
0.409816820355295,1.6690848921109172,0.5895116849287042,0.10795597091895863,0.13496635257474426,24,196.397,0.0002,0.0002,1.1765126784642537,0.43947820199860466,0.07370211970474985,0.13266245689657
0.20444409296061228,1.28671778868703,0.49892351392982076,0.07877803989912122,0.13872604882254183,25,196.605,0.0002,0.0002,1.332061807314555,0.4423130667871899,0.08897345844242308,0.141606990661886
0.18792734490436258,1.362313918986367,0.5337320314449014,0.08285679785733663,0.1390514022950987,26,196.51,0.0002,0.0002,1.5920922491285536,0.7149950431452857,0.08770841360092163,0.13053024311860403
0.19071240963649402,1.404393691461063,0.5431190491880028,0.08612607323645967,0.1391011953570889,27,196.473,0.0002,0.0002,1.8020877440770466,0.8867435786459181,0.0915330449740092,0.13698593775431314
0.18866525301076834,1.423759955225639,0.5394883200670909,0.08842577694833857,0.13860414296533297,28,196.773,0.0002,0.0002,1.3032775984870062,0.5014669928285811,0.08017968634764354,0.1373885456058714
0.1861246052442245,1.4592227490202894,0.5547844599751592,0.09044243521916057,0.13929662491800715,29,196.515,0.0002,0.0002,1.5441168149312336,0.620892670419481,0.0923210299677319,0.1381702861852116
0.18647162005015946,1.4924448219317834,0.5560283676802533,0.09364025283930372,0.1391472308308754,30,196.872,0.0002,0.0002,1.553176826900906,0.5835620760917664,0.09696006692118114,0.14058794577916464
0.17768287984202208,1.5350387353920243,0.5746692929742405,0.0960355453120852,0.13982300272265685,31,196.933,0.0002,0.0002,1.7626669274436102,0.6929711136553023,0.106968202524715,0.13785947610934576
0.1859395045750928,1.5457456673233254,0.5594637665210418,0.09862678537814362,0.14042890017617096,32,196.504,0.0002,0.0002,1.4779359896977742,0.5466302765740289,0.09312922673092948,0.13445093731085458
0.17984807153132934,1.559681989614246,0.5602844485886467,0.09993834847819458,0.14051753980586829,33,197.188,0.0002,0.0002,1.565321061346266,0.6397847003406949,0.09255227612124549,0.13606485890017617
0.17598812524410126,1.6096462404843672,0.5790393405313631,0.10305928724628051,0.14022625989994955,34,196.789,0.0002,0.0002,1.678475512398614,0.5791231724951003,0.10993387798468272,0.135590098798275
0.18340211162723383,1.6582193762353323,0.5789557850187265,0.10792496160251423,0.13971209677967053,35,196.948,0.0002,0.0002,1.5258682039048936,0.5987668401665158,0.0927087879843182,0.1348331943154335
0.17745862749305744,1.6099766162992681,0.5733322143482352,0.10366303394141707,0.1405860348740249,36,196.755,0.0002,0.0002,1.580745471848382,0.5517048339049021,0.10290272451109356,0.13400513016515309
0.1796535277757251,1.719684669115011,0.598990700632623,0.11206800544869552,0.13909151875278325,37,196.787,0.0002,0.0002,2.1197152270211115,0.5569932924376594,0.15627094440990025,0.12470946047041151
0.1652003893791472,1.6997935482599202,0.5855559869805007,0.11142237195112173,0.13836756355843496,38,196.338,0.0002,0.0002,1.5837620894114177,0.4723147716787126,0.11114336633019978,0.13668981028927696
0.16776560780420466,1.6907165455586701,0.5907703541146899,0.10999322273922198,0.13959100650786196,39,196.243,0.0002,0.0002,1.5141047769122653,0.4810280203819275,0.10330635640356275,0.13213200370470682
0.16850898082105858,1.7026486842377673,0.5885024547432233,0.11141323262047999,0.1390221554749799,40,196.592,0.0002,0.0002,1.5142374965879652,0.44850898782412213,0.10657151871257359,0.13335320270723766
0.16580055520227813,1.7214371712462415,0.5990869991698311,0.11223362733438177,0.1389414672423335,41,196.687,0.0002,0.0002,1.8575565020243328,0.6776693993144565,0.11798735128508674,0.13595450090037453
0.16209328850930177,1.7601266989430178,0.6030578313811311,0.11570549933511076,0.1387582477362989,42,196.29,0.0002,0.0002,1.756141914261712,0.4694533447424571,0.12866750359535217,0.1352833683292071
0.1756085300438323,1.7481174168077487,0.6055296947727504,0.11425737392844505,0.13970237695476384,43,196.492,0.0002,0.0002,1.619341664844089,0.4827426042821672,0.11365858465433121,0.13232005387544632
0.15973330692397159,1.7576220417485653,0.5945630239196193,0.11630451190963532,0.1388973382129831,44,196.767,0.0002,0.0002,1.6785564687516954,0.3997444742255741,0.1278797835111618,0.14180700398153728
0.16646601820310342,1.800166476698755,0.6030488851145633,0.11971036558157032,0.13938764927601352,45,196.429,0.0002,0.0002,1.9510404931174383,0.6964085035853915,0.125461860663361,0.13376174122095108
0.16695922929612758,1.78855531655469,0.6049250204441616,0.11836165034221215,0.13792976465763399,46,196.342,0.0002,0.0002,1.8114413817723591,0.6137784322102865,0.11976498117049535,0.13136358807484308
0.16419563276096455,1.875874733461917,0.6128935716973926,0.1262967468248409,0.13684549262222734,47,196.64,0.0002,0.0002,2.1922955910364785,0.4699602756235335,0.17223230335447523,0.12287391473849614
0.15741066450198876,1.8911528008655436,0.6272921659848065,0.12638471684264904,0.13457803041176888,48,196.3,0.0002,0.0002,1.6569921175638835,0.5159048934777578,0.11410742004712422,0.12989911105897692
0.1649631117334933,1.829358795892845,0.6054566741279028,0.12238883360931017,0.13780383042340139,49,195.798,0.0002,0.0002,1.9169635375340779,0.6757207711537679,0.12412294000387192,0.13354419502947065
0.16164714669428984,1.8488081780452172,0.613258432850097,0.12355358829920732,0.13861322128078313,50,196.317,0.0002,0.0002,1.6725077099270291,0.4632764028178321,0.12092179556687672,0.13378542910019556
